title,company,location,semantic_similarity,first_seen_date,url
Ejecutivo de Venta Producto Finan PT 18,Ripley,Tda Plaza Huechuraba (Gesic) - Nuevos Clientes,0.3534,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23300?c=ripley
Op. Implementaciones Comerciales Sodimac Maitencillo 42 hrs,Sodimac,"Puchuncaví, Valparaíso, Chile",0.3521,2026-08-05,https://falabella.airavirtual.com/postula/f1SeQHEobQ32LgEskf6A?logged_action=apply&register=true
Guardia de Seguridad 4x4 Quilicura,Tricot S.A.,"Quilicura, Metropolitana de Santiago",0.3514,2026-08-05,https://tricot.trabajando.cl/trabajo-empleo/guardia-de-seguridad-4x4-quilicura/trabajo/6109655
Makeup Artist Beauty F/Part Time 20 hrs sabado y Domingo/ Falabella Alto las Condes,Falabella Retail,"Las Condes, Metropolitana, Chile",0.3485,2026-08-05,https://falabella.airavirtual.com/postula/okhDaOBuNN1fOsiu0oOE?logged_action=apply&register=true
Ejecutivo de Venta Producto Financiero,Ripley,Tda Pta Arenas (Gesic) - Nuevos Clientes,0.3482,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23964?c=ripley
Operativo/a Tienda Sodimac HC Tobalaba Jornada PT25,Sodimac,"Puente Alto, Metropolitana, Chile",0.3476,2026-08-05,https://falabella.airavirtual.com/postula/klANJpzYsGRsDVTuBkd3?logged_action=apply&register=true
Operativo/a Tienda Sodimac San Bernardo Jornada 20 horas,Sodimac,"San Bernardo, Metropolitana, Chile",0.346,2026-08-05,https://falabella.airavirtual.com/postula/JLVLElZLqsxBxiZGDbvg?logged_action=apply&register=true
Ejecutiva/o Atención al Cliente Multiskills,Farmacias Ahumada S.A.,"Macul, Metropolitana de Santiago",0.3442,2026-08-05,https://ahumada.trabajando.cl/trabajo-empleo/ejecutiva-o-atencion-al-cliente-multiskills/trabajo/6109684
Skincare Expert BeautyF/ Jornada 30 HRS MJT 5x2/Falabella Alto las Condes,Falabella Retail,"Las Condes, Metropolitana, Chile",0.3402,2026-08-05,https://falabella.airavirtual.com/postula/VPq7xzwdwwF9B9NmyI3P?logged_action=apply&register=true
Asistente Comercial,Ripley,Tda Mall Temuco (Gesic) - Sucursales,0.3393,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23039?c=ripley
Consultor/a Integral Personal Care - Vitacura,Salcobrand,"Vitacura, Metropolitana de Santiago",0.336,2026-08-05,https://salcobrand.trabajando.cl/trabajo-empleo/consultor-a-integral-personal-care-vitacura/trabajo/6109758
Ejecutivo de Venta Producto Financiero,Ripley,Tda Plaza Tobalaba (Gesic) - Nuevos Clientes,0.3359,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23889?c=ripley
Técnico Eléctrico - San Bernardo,Empresas Carozzi S.A.,"San Bernardo, Metropolitana de Santiago",0.3351,2026-08-05,https://carozzi.trabajando.cl/trabajo-empleo/tecnico-electrico-san-bernardo/trabajo/6109528
Jefe de Tienda - Lanco,abc,"Lanco, Los Ríos",0.3319,2026-08-05,https://abcdin.trabajando.cl/trabajo-empleo/jefe-de-tienda-lanco/trabajo/6109864
Ejecutivo de Venta Producto Financiero(R),Ripley,Tda Plaza El Trebol (Gesic) - Nuevos Clientes,0.3311,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23749?c=ripley
Asistente Comercial,Ripley,Tda Pto.Montt Costanera(Gesic) - Sucursales,0.3285,2026-08-05,https://ripley.csod.com/ux/ats/careersite/4/home/requisition/23036?c=ripley
